,feature,importance,group,method
0,pitch_std,0.021680241,audio_speech,gradient_saliency
1,pitch_mean,0.017470865,audio_speech,gradient_saliency
2,time_pct,0.013321718,temporal,gradient_saliency
3,hook_has_question,0.0058152676,hook,gradient_saliency
4,voiced_frac,0.005547232,audio_speech,gradient_saliency
5,radial_ratio,0.0031666593,visual_motion,gradient_saliency
6,disgust,0.0024791174,emotion,gradient_saliency
7,loudness_variance,0.0023024448,audio_loudness,gradient_saliency
8,motion_speed,0.0020095268,visual_motion,gradient_saliency
9,question_density,0.0015152536,unknown,gradient_saliency
10,text_prob,0.0015044978,visual_content,gradient_saliency
11,edit_pace_x_screencast,0.0013143299,interaction,gradient_saliency
12,sad,0.0012838084,emotion,gradient_saliency
13,screencast_prob,0.0011635346,visual_content,gradient_saliency
14,is_ad_x_viewer_address,0.0011336085,interaction,gradient_saliency
15,brightness,0.0011252724,visual_quality,gradient_saliency
16,n_ad_segments,0.0010986248,ad,gradient_saliency
17,silence_stretch,0.00107016,audio_speech,gradient_saliency
18,angry,0.0010678932,emotion,gradient_saliency
19,cinematic,0.0010483303,visual_quality,gradient_saliency
20,hook_score,0.00095727714,hook,gradient_saliency
21,sentiment_polarity,0.00095463987,unknown,gradient_saliency
22,viewer_address,0.000904872,text_content,gradient_saliency
23,visual_entropy,0.00087145757,visual_quality,gradient_saliency
24,filler_density,0.0008532945,unknown,gradient_saliency
25,wps,0.00081853697,audio_speech,gradient_saliency
26,neutral,0.00081185455,emotion,gradient_saliency
27,beat_sync_ratio,0.00080618093,audio_music,gradient_saliency
28,sentiment_intensity,0.00079597847,unknown,gradient_saliency
29,centroid,0.00076798396,audio_basic,gradient_saliency
30,zcr,0.0007219435,audio_basic,gradient_saliency
31,cultural_ref_density,0.0006883862,unknown,gradient_saliency
32,speech_rate_cv,0.0006245602,audio_speech,gradient_saliency
33,pause_rate,0.0006230509,audio_speech,gradient_saliency
34,sharpness,0.00059518236,visual_quality,gradient_saliency
35,rolloff,0.00059085526,audio_basic,gradient_saliency
36,hook_score_x_time_pct,0.00058447313,interaction,gradient_saliency
37,ad_segment_length,0.0005734952,ad,gradient_saliency
38,music_rms,0.0005633425,audio_music,gradient_saliency
39,syntactic_depth,0.0005539523,text_complexity,gradient_saliency
40,flow_mag_med,0.0005414319,visual_motion,gradient_saliency
41,beat_sync,0.0005146044,audio_music,gradient_saliency
42,surprise,0.0004885429,emotion,gradient_saliency
43,frame,0.00048745502,visual_motion,gradient_saliency
44,rms,0.00048559168,audio_basic,gradient_saliency
45,avg_word_length,0.00048159514,text_complexity,gradient_saliency
46,lexical_diversity,0.00046123785,text_complexity,gradient_saliency
47,ad_density_pct,0.00044005536,ad,gradient_saliency
48,radial_med,0.00043007924,visual_motion,gradient_saliency
49,edit_pace,0.00041014294,visual_motion,gradient_saliency
50,bumper_score,0.00039398985,visual_content,gradient_saliency
51,scene_novelty,0.00037020585,visual_motion,gradient_saliency
52,hook_has_address,0.0003284144,hook,gradient_saliency
53,face_screen_ratio,0.00032303296,visual_content,gradient_saliency
54,speaker_prob,0.00031820528,visual_content,gradient_saliency
55,fear,0.00031224615,emotion,gradient_saliency
56,vocal_zcr,0.00030883323,audio_vocal,gradient_saliency
57,happy,0.00030314815,emotion,gradient_saliency
58,music_zcr,0.0002865299,audio_music,gradient_saliency
59,topic_shift,0.00028419012,unknown,gradient_saliency
60,is_ad,0.00021213583,ad,gradient_saliency
61,speech_ratio,0.00020130695,audio_speech,gradient_saliency
62,vocal_rms,0.00019313957,audio_vocal,gradient_saliency
63,loudness_change,0.00018049804,audio_loudness,gradient_saliency
64,speech_complexity,0.00017687098,text_complexity,gradient_saliency
65,music_only,0.0001395765,audio_music,gradient_saliency
66,vocal_rolloff,0.00013349969,audio_vocal,gradient_saliency
67,vocal_centroid,0.0001279979,audio_vocal,gradient_saliency
68,music_rolloff,0.0001193796,audio_music,gradient_saliency
69,music_centroid,8.634935e-05,audio_music,gradient_saliency
