feature,importance
duration_seconds,5.837393389843134
out__centroid__max,3.0538187418746974
emotion__energy_density,2.3610456848791594
integration_suggested_next_step_present,1.4601176053888139
emotion__negative_emotion_ratio,1.3368807266597211
out__zcr__max,1.2893830731582405
out__screencast_prob__mean,1.2850632146541
interval_label_mean__trigger_watch_to_end,1.214661903720147
linguistic__rare_word_ratio,1.2071459613763496
out__loudness_variance__min,1.1562965070886009
abstract_total_count,1.155663608284293
evidence_analytical_intervals,1.0555530574595402
out__visual_topic_shift__min,1.0213365936231606
out__centroid__std,0.9547702929138946
interval_label_mean__problem_consequence,0.9156944230215123
out__visual_entropy__trend,0.9031608394091689
linguistic__avg_sentence_length,0.8942276698798277
out__screencast_prob__std,0.8595778208828477
out__is_ad__max,0.8444464375523376
out__pitch_mean__q25,0.8101692416291542
out__pitch_mean__median,0.7887446823578871
out__overlay_prob__trend,0.7379271344591832
out__rms__min,0.7227528094122292
out__pause_rate__trend,0.7211676272984967
out__pause_rate__max,0.7104263885423323
out__text_prob__max,0.7084811363779306
expectation_alignment_score,0.6946521708325506
interval_label_mean__trigger_urgency,0.6671969341707686
out__rolloff__std,0.6626279952181227
out__screencast_prob__q75,0.6559980575158131
out__speech_rate_cv__max,0.6355593261016873
out__is_ad_x_viewer_address__mean,0.6116051464039356
out__n_chapters__median,0.5971877925376896
out__brightness__trend,0.5907201013607842
out__radial_ratio__std,0.5806337293080444
interval_label_mean__pain_point,0.5623686586523274
emotion__positive_emotion_ratio,0.5467219356924755
linguistic__foreign_terms_count,0.5444090083529034
out__text_prob__trend,0.5435367507945553
out__radial_med__trend,0.5421631239085755
out__is_ad_x_viewer_address__std,0.5006118725605958
out__motion_speed__mean,0.46678850496974544
interval_label_mean__promise_result,0.4609508265408838
out__visual_entropy__q25,0.4562235698048333
out__screencast_prob__trend,0.4300640212994346
out__text_prob__std,0.4145706915280174
out__motion_speed__q25,0.4137464493821847
abstract_intervals_with_feature,0.41240169740435595
out__speaker_prob__trend,0.4055636569386838
out__is_ad_x_viewer_address__max,0.3997637922353182
out__speech_rate_cv__std,0.3899316991362186
out__centroid__q75,0.3730219374555234
out__sharpness__trend,0.3693578155633369
out__object_count__q25,0.36886644858159534
out__screencast_prob__q25,0.3687927753424664
out__pitch_std__max,0.36616861211514823
out__loudness_change__max,0.36387955140710915
out__visual_entropy__std,0.3629370228262246
out__flow_mag_med__trend,0.3551060909398745
out__speech_rate_cv__mean,0.35177885247031265
interval_label_mean__solution_radical,0.35126954874010113
out__motion_speed__std,0.3462597812200511
out__audio_novelty__trend,0.3443467731037842
out__pitch_std__trend,0.3333545580424353
out__motion_speed__trend,0.33278349783279687
out__radial_med__q25,0.33120170989946085
out__audio_hook_similarity__median,0.3274360432147425
abstract_intervals_total,0.3224356339456489
out__unique_classes__max,0.3208139399339694
out__bumper_score__std,0.31486549949672155
out__topic_change_rate__median,0.31428783814724015
out__rms__q25,0.3092291905346081
out__zcr__trend,0.3075355573103106
out__sharpness__std,0.30712809969475546
out__audio_novelty__median,0.305946880734719
out__motion_speed__max,0.30586800885229126
out__loudness_change__min,0.29723452841753184
linguistic__avg_word_length,0.29683649940277584
out__radial_med__q75,0.2945632658075425
out__loudness_variance__max,0.29451675522798165
out__viewer_address__trend,0.2936662755442452
out__question_density__median,0.29074439713161526
out__voiced_frac__mean,0.2883538930192602
out__edit_pace__std,0.282777853167111
interval_label_mean__solution_fast,0.28066004682498724
out__zcr__min,0.2805374158672424
out__radial_med__median,0.2782645852289194
out__audio_topic_shift__trend,0.2743992430427646
out__speech_complexity__trend,0.27438877610695933
out__rolloff__q75,0.2728613936016812
out__n_chapters__mean,0.2719932932496607
segments_count,0.27186845550270416
out__pause_rate__mean,0.27125546650980953
linguistic__flesch_reading_ease,0.2702910691997099
out__audio_self_similarity__trend,0.2695470525147107
out__speaker_prob__std,0.26913739402055864
out__overlay_prob__max,0.26571480749944704
out__pause_rate__q75,0.2591033349847131
out__rms__mean,0.25901543789591874
out__sharpness__median,0.2589546865104349
out__voiced_frac__q25,0.2584670474700994
out__object_count__median,0.2576635889751573
out__loudness_change__trend,0.2535908979403644
out__rms__q75,0.2529890503813397
out__visual_entropy__median,0.24758054882833475
out__edit_pace__trend,0.24724895817503456
out__has_example__max,0.24688006194243184
out__hook_has_address__q25,0.24461893834169204
out__pitch_std__q75,0.24417590683388285
out__unique_classes__q75,0.24393171612264472
out__brightness__max,0.2437515281234067
out__flow_mag_med__max,0.2431296404211553
out__radial_ratio__q75,0.23947570174889252
out__crutch_cnt__max,0.23923592307038533
out__cultural_ref_cnt__trend,0.23867510167670697
out__edit_pace__max,0.23707199825265843
out__rms__trend,0.23690256939418486
out__radial_ratio__trend,0.2342678516646532
out__rms__median,0.23383118290196075
integration_confidence,0.23134238178672745
out__speaker_prob__q25,0.22783995134235227
out__pause_rate__median,0.2277500886369685
integration_present,0.22774508520568393
out__radial_ratio__mean,0.2273567244190397
interval_label_mean__why_important,0.22318051031537336
integration_evidence_count_max,0.22228097229274443
out__speaker_prob__max,0.22128662002245428
out__voiced_frac__std,0.22081511315784508
out__voiced_frac__trend,0.22078644403692155
out__visual_hook_similarity__q75,0.21702715240830112
out__pitch_mean__q75,0.216473611296259
out__rms__max,0.21420747839187576
out__visual_entropy__mean,0.21301067888933237
out__visual_entropy__min,0.21271087108206116
out__is_outro__std,0.21262649410884782
out__screencast_prob__min,0.21044445245918011
out__audio_topic_shift__min,0.21044057038601052
out__visual_entropy__max,0.20970875530221442
out__topic_shift__min,0.20935130760079518
out__chapter_id__q75,0.2055776158315814
out__flow_mag_med__q25,0.20545360644534094
out__voiced_frac__max,0.2030993681790442
out__speech_rate_cv__q75,0.19820897011121325
out__hook_has_address__median,0.19784993137987397
out__pause_rate__std,0.19590857512783982
out__voiced_frac__median,0.19314587818360626
out__pitch_mean__mean,0.19179553997720195
out__beat_sync_ratio__mean,0.1916725739171188
out__question_density__q75,0.18839005802684114
out__overlay_prob__std,0.1883176216409573
out__n_chapters__q75,0.1879062851688174
out__segment_self_similarity__q25,0.18729921749391598
out__pitch_std__q25,0.18683330265652992
out__hook_score__std,0.18563219709453307
out__n_chapters__max,0.18460854672114907
out__curiosity_gap__max,0.1824326269368827
out__n_chapters__q25,0.1822205594488862
out__edit_pace__mean,0.1806401059995099
out__is_ad_x_viewer_address__trend,0.17895542858160823
out__brightness__median,0.1774835752895738
out__scene_novelty__max,0.17658671753531469
out__centroid__q25,0.17595670430841137
out__pitch_std__median,0.17484553085396312
out__wps__mean,0.17463948777370042
out__audio_hook_similarity__trend,0.17411904553717467
out__rolloff__trend,0.17296483608794522
out__overlay_prob__mean,0.1729544208645482
out__brightness__min,0.172111204764476
out__speaker_prob__median,0.17025215330129434
evidence_concreteness_density_mean,0.16846827254992974
out__hook_has_address__max,0.16830407076324
out__loudness_variance__median,0.16738294048481808
out__rolloff__max,0.16596303152663833
out__scene_novelty__q75,0.16531561260371538
out__hook_has_address__q75,0.1641383792510231
out__speech_rate_cv__median,0.1618766281468317
out__text_prob__mean,0.1617556371590348
out__loudness_variance__q25,0.1596201274388757
out__sharpness__mean,0.15951507581530472
out__unique_classes__median,0.15914682221792664
out__beat_sync_ratio__trend,0.15897559852359228
out__zcr__q25,0.1575353773081749
out__speech_complexity__mean,0.15734664441311297
out__rolloff__mean,0.15424444922082253
out__n_ad_segments__q25,0.1539687542662671
out__ekman_joy__trend,0.15369942001530426
out__pitch_mean__trend,0.15343945645048226
out__depth_mean__trend,0.15257421031288743
out__loudness_change__mean,0.15194610507704287
out__screencast_prob__median,0.15142384256826355
out__pitch_std__mean,0.15077964179603978
out__sharpness__min,0.14864756341324079
out__centroid__median,0.1464592934218241
out__beat_sync__max,0.14554940969132485
out__flow_mag_med__std,0.14454268805699916
out__visual_entropy__q75,0.14163875072295143
out__is_intro__max,0.14136047255386203
out__loudness_variance__std,0.1412498849033451
out__radial_med__mean,0.14118966761732582
out__unique_classes__q25,0.14103422210191136
out__centroid__trend,0.1408574145265843
out__brightness__mean,0.14076713389263504
out__sharpness__q75,0.14075265343869753
out__screencast_prob__max,0.14012123476384902
evidence_water_ratio_mean,0.1400773628872606
out__beat_sync__trend,0.1397356973759602
out__speaker_prob__q75,0.13893195306530903
out__brightness__q75,0.1380909143746984
out__storytelling__trend,0.13805536963082327
out__n_chapters__min,0.13769399382658437
out__radial_ratio__median,0.13679752786274152
out__voiced_frac__q75,0.13624266536150348
out__motion_speed__median,0.1358828697175344
out__topic_change_rate__max,0.13534934486294636
out__question_density__std,0.13408255611991632
out__radial_med__min,0.13316724193393034
out__bumper_score__mean,0.13259989712131998
out__audio_momentum__q75,0.131366209277782
out__speech_complexity__q75,0.13099932910087053
out__chapter_id__trend,0.13080123802389276
out__speech_rate_cv__q25,0.13057168546589057
out__bumper_score__trend,0.12944303687098657
out__ekman_excitement__trend,0.12851049766531314
out__radial_ratio__q25,0.12825022896221192
out__loudness_variance__q75,0.12801783521673316
out__text_prob__q25,0.12707362956218918
out__depth_variance__median,0.1270301545110815
linguistic__subordinate_clause_ratio,0.12560395226905624
out__zcr__mean,0.12545162314060898
out__scene_novelty__trend,0.12521090102718407
out__loudness_change__std,0.1251654223032475
out__pitch_mean__max,0.12439555924894292
out__flow_mag_med__mean,0.12424906697446507
emotion__personal_pronoun_ratio,0.12349793573724806
out__topic_change_rate__q75,0.12337033666599193
emotion__emotional_polarity_ratio,0.12164740445383901
out__zcr__q75,0.12161016714784581
out__n_ad_segments__median,0.12110884228850938
out__hook_has_address__mean,0.12023625329588106
out__audio_momentum__trend,0.12009355958683383
out__question_density__max,0.11968065583216256
out__voiced_frac__min,0.11873479479942195
out__zcr__median,0.11858308567998713
out__depth_variance__q25,0.11851842862077264
out__topic_change_rate__mean,0.11762369371070866
out__text_prob__q75,0.11646658521529436
out__crutch_cnt__q75,0.11432598316801205
out__rolloff__q25,0.11338240200765407
out__edit_pace_x_screencast__std,0.1108016196482311
out__sharpness__q25,0.11069734384134208
out__viewer_address__std,0.11034383391303622
out__sharpness__max,0.10998738014147888
out__loudness_change__q75,0.10754962718641234
out__depth_variance__mean,0.10726664107775483
out__overlay_prob__median,0.10629934824675413
out__rms__std,0.10578441701655861
out__radial_med__max,0.10275480555843015
out__hook_similarity__q75,0.10267239577764051
out__question_density__mean,0.10079904607429842
out__n_ad_segments__q75,0.10030754837580905
out__beat_sync__std,0.10018628545094103
out__is_outro__max,0.09952524930301412
out__loudness_variance__mean,0.0992667030704747
out__overlay_prob__q75,0.0981973236302736
out__ad_segment_length__max,0.09734748659755912
out__flow_mag_med__q75,0.09616647548273924
out__ad_segment_length__trend,0.0961052567532679
out__ekman_neutral__trend,0.09580890305087783
out__question_density__trend,0.09512509940376135
out__loudness_change__q25,0.09399848063284605
out__speech_rate_cv__trend,0.09339982552553636
out__speech_complexity__q25,0.09277188778074542
out__loudness_change__median,0.09272222915051513
out__brightness__q25,0.09209993336114145
out__lexical_diversity__max,0.08929278343903771
