feature,importance_mae_increase
avg_comment_length_video,0.13503657300086788
ad_segment_length,0.09712008548648517
flow_mag_med,0.047496664720794314
llm_interval_label_mean__promise_result,0.025672602889562413
curve_p2,0.023031520528763078
llm_integration_evidence_count_max,0.016485663687829444
llm_abstract_intervals_total,0.016370428356008066
curve_p0,0.011233981293027403
avg_word_length,0.010872900682708556
llm_interval_label_mean__pain_point,0.010128901264455573
llm_linguistic__foreign_terms_count,0.007213608895985324
llm_interval_label_mean__quick_tip,0.00644906550744236
cumulative_info,0.006356917277422269
pitch_std,0.005897289062097262
llm_abstract_total_count,0.004668823091111089
llm_interval_label_mean__trigger_urgency,0.004526752685950856
llm_emotion__emotional_polarity_ratio,0.004250960145453675
wps,0.0038506259225782693
pitch_mean,0.0034581036457537926
llm_segments_count,0.0034282910941859277
llm_emotion__negative_emotion_ratio,0.0032505375323926464
llm_emotion__positive_emotion_ratio,0.0028031213842216
llm_emotion__personal_pronoun_ratio,0.0025214229873311567
speaker_prob,0.0021954627713759813
llm_interval_label_mean__problem_consequence,0.0020556862204787287
cultural_ref_cnt,0.0018161408578614886
screencast_prob,0.0017940055419124097
hook_similarity,0.0016959501965221335
curve_p4,0.0015027615890259582
is_outro,0.0011439018123624578
llm_evidence_analytical_intervals,0.001053181261119936
curve_fit_mae,0.0010210156834169481
lexical_diversity,0.0007424080725950688
voiced_frac,0.00047312569697085155
pause_rate,0.00028858247763382156
topic_shift,0.0002669671187707223
speech_rate_cv,0.00020313074093151565
rolloff,0.0001926119964913061
speech_complexity,0.00015846227261976745
viewer_address,0.00013946810177826544
information_density,0.00012491056234568512
engagement_surprise,0.0001014986447390361
comment_density_30s,9.811955316655722e-05
comment_question_rate_30s,6.573491364007349e-05
ekman_sadness,5.477426862654511e-05
question_density,4.666898116933993e-05
has_person_mention,2.8227500790123372e-05
beat_sync_ratio,2.025440581210347e-05
has_example,1.090525007126549e-05
ekman_excitement,6.800988326875294e-06
comment_positive_rate_30s,0.0
author_reply_rate_video,-2.0297210994317066e-05
comment_reply_depth_30s,-3.446950377394842e-05
desc_chapter_boundary_dist,-3.563783349728548e-05
complex_words_ratio_video,-4.793551101863377e-05
is_intro,-0.00012408089716349954
ekman_joy,-0.00013893933185974797
ekman_intensity,-0.00014726997602032554
bumper_score,-0.00019208322657160437
brightness,-0.00023907954149837707
llm_linguistic__avg_sentence_length,-0.00033714369972089503
syntactic_depth,-0.00036625877858694383
visual_entropy,-0.00041117904209819756
best_curve_type,-0.0005144138147334942
ekman_neutral,-0.0005605452131508907
rms,-0.0006026138960324445
edit_pace,-0.0006906654181643527
llm_interval_label_mean__solution_simple,-0.0007175067863833817
curve_p3,-0.0007215002582396934
llm_linguistic__rare_word_ratio,-0.0007259406665758306
curiosity_gap,-0.0008218947810301932
content_rhythm,-0.0011176030627959577
llm_evidence_water_ratio_mean,-0.0011244191588343593
llm_interval_label_mean__solution_fast,-0.0011311483855290423
llm_expectation_alignment_score,-0.0011899538952911588
scene_novelty,-0.0014066425487149203
text_prob,-0.0015170698512102139
crutch_cnt,-0.0015252154258999322
loudness_variance,-0.0015818215045978097
is_question,-0.001587347150241077
duration_sec,-0.0022534109184834485
llm_emotion__energy_density,-0.0025345679556962133
zcr,-0.0029288804963855477
sharpness,-0.0031051774229539455
chapter_id,-0.003342449074924166
llm_evidence_authority_intervals,-0.0034178101190240895
radial_ratio,-0.0035506459352596664
llm_expectation_mismatch_points_count,-0.005113315897019059
llm_abstract_intervals_with_feature,-0.005511451947806556
llm_evidence_concreteness_density_mean,-0.0056208632566733625
llm_duration_seconds,-0.0065145536617867705
llm_interval_label_mean__why_important,-0.0074308074346859
hook_has_address,-0.007837635455745525
llm_interval_label_mean__trigger_watch_to_end,-0.008908454970556848
motion_speed,-0.010029022921822358
hook_score,-0.015809592319399417
llm_linguistic__subordinate_clause_ratio,-0.023338213376084955
llm_interval_label_mean__solution_radical,-0.027160322233395224
curve_p1,-0.07383029421563918
radial_med,-0.1719026546667104
