feature,importance_mae_increase
ad_segment_length,0.26877458087681977
avg_comment_length_video,0.11576143145167794
motion_speed,0.07003231111532819
curve_p0,0.05552560787389815
video_cluster,0.055132827506994
llm_interval_label_mean__promise_result,0.05430107242596834
radial_med,0.05396464760153948
curve_p2,0.032878562247399636
llm_interval_label_mean__trigger_urgency,0.028746319761371097
llm_linguistic__avg_sentence_length,0.016837182375463833
flow_mag_med,0.016198819856046615
llm_emotion__negative_emotion_ratio,0.01159841707437348
llm_emotion__emotional_polarity_ratio,0.011107223812896786
llm_evidence_authority_intervals,0.01089335778365482
llm_interval_label_mean__pain_point,0.007720502847099316
llm_segments_count,0.006829776071479128
visual_audio_sync,0.006434218403530423
llm_emotion__personal_pronoun_ratio,0.005840379570183944
llm_abstract_total_count,0.0057769813159911365
duration_sec,0.005720294662828529
llm_abstract_intervals_total,0.005218518449135641
llm_abstract_intervals_with_feature,0.005053833058170791
llm_linguistic__foreign_terms_count,0.004685917467174801
hook_similarity,0.00416228165327522
llm_interval_label_mean__quick_tip,0.003146022381168123
scene_novelty,0.0029033824555548073
sharpness,0.0021909468244792527
llm_evidence_analytical_intervals,0.0016236648307780637
llm_emotion__positive_emotion_ratio,0.0015853416014820116
speech_rate_cv,0.0015150454178115187
visual_entropy,0.0014524642390378872
curve_p4,0.0014502459233352027
llm_integration_evidence_count_max,0.0014108890747479563
pitch_mean,0.0012833434756437019
title_claim_intensity,0.0010211944580079309
radial_ratio,0.0009235873080711462
unique_classes,0.0007324092852393586
viewer_engagement,0.0007181413102858395
rolloff,0.0006955200296034173
zcr,0.0006674171674368642
screencast_prob,0.0004964784427053578
ekman_neutral,0.0004859219289850003
information_density,0.00048164392855317334
topic_change_rate,0.0004469805424746435
content_rhythm,0.00044656004449272757
loudness_variance,0.00035732760287743304
object_count,0.0003049227270753481
llm_interval_label_mean__problem_consequence,0.0002470853698524067
viewer_address,0.000221417367261445
overlay_prob,0.0001729908556041456
rms,0.0001710835069725173
is_question,0.00012268343381046284
storytelling,0.00011544683978866506
comment_density_30s,0.00010964925533111607
chapter_id,0.00010305348009106059
brightness,5.9334279679745805e-05
crutch_cnt,5.8406414371899494e-05
is_outro,5.483469947324219e-05
voiced_frac,4.4886271159209436e-05
edit_pace,2.1571294702778705e-05
comment_reply_depth_30s,9.234588924951955e-06
ekman_joy,7.781730626691777e-06
author_reply_rate_video,4.254079888058963e-06
log1p_view_count,0.0
mean_retention_prior,0.0
ekman_excitement,-4.818101132878875e-06
has_example,-5.592371371913411e-06
ekman_sadness,-1.9232117302259155e-05
complex_words_ratio_video,-2.1679566638195997e-05
timecode_like_weighted_30s,-2.4055254341052528e-05
bumper_score,-4.3481253947893116e-05
title_transcript_gap,-4.481073259920976e-05
comment_question_rate_30s,-4.9248622982685695e-05
desc_chapter_boundary_dist,-5.195668034770525e-05
syntactic_depth,-7.848456354420108e-05
question_density,-0.00010595919668935731
segment_self_similarity,-0.00015193322310717386
engagement_surprise,-0.00019072605044960037
narrative_momentum,-0.0002466208077116505
wps,-0.0002702253486456622
has_person_mention,-0.00027245373615691904
topic_shift,-0.00030204093102229973
curiosity_gap,-0.00033304195592827784
speech_complexity,-0.00035068020962292223
ekman_intensity,-0.0003653875671991713
text_prob,-0.0003746183791969078
hook_has_address,-0.00039926283430317494
llm_expectation_alignment_score,-0.00042665311605579365
is_intro,-0.0004730778558815392
n_chapters,-0.0005736901815180199
semantic_momentum,-0.0006374258412783126
pitch_std,-0.0006578565037290337
cultural_ref_cnt,-0.0007429481732967128
lexical_diversity,-0.0008395330347245414
cumulative_info,-0.0012084130013348589
best_curve_type,-0.0013863365248871773
llm_interval_label_mean__solution_fast,-0.0016652437719966902
semantic_novelty,-0.001863031418803433
avg_word_length,-0.0023720908086290273
llm_duration_seconds,-0.0025687768514398948
llm_emotion__energy_density,-0.0030672784685693935
llm_expectation_mismatch_points_count,-0.003162025225044237
llm_interval_label_mean__solution_simple,-0.0033226151670945705
llm_evidence_water_ratio_mean,-0.003454948651908355
title_delivery_30s,-0.0040045017456460386
curve_p3,-0.004948640577863668
llm_interval_label_mean__trigger_watch_to_end,-0.005071295055225337
speaker_prob,-0.005151957647241782
hook_score,-0.006418734257765142
llm_linguistic__rare_word_ratio,-0.007959642819445575
pause_rate,-0.008819709752652413
curve_fit_mae,-0.009322179662119604
llm_evidence_concreteness_density_mean,-0.012538965307052527
llm_interval_label_mean__why_important,-0.014170780748423853
llm_linguistic__subordinate_clause_ratio,-0.021896581366510997
llm_interval_label_mean__solution_radical,-0.08561948392257406
curve_p1,-0.19903118146134643
