feature,importance_mae_increase
ad_segment_length,0.25093341991059565
radial_med,0.11234833493878031
flow_mag_med,0.09866146427570104
avg_comment_length_video,0.030128511737283148
llm_interval_label_mean__trigger_urgency,0.028782272338868136
llm_interval_label_mean__trigger_watch_to_end,0.015688870370192138
llm_interval_label_mean__quick_tip,0.014530293933630034
llm_evidence_analytical_intervals,0.008904661675886771
llm_interval_label_mean__problem_consequence,0.008038414429517951
curve_p3,0.007676990118752632
llm_duration_seconds,0.006400777483145011
llm_linguistic__avg_sentence_length,0.005390931434758883
llm_expectation_mismatch_points_count,0.00363659244952963
speaker_prob,0.0034233319877413257
avg_word_length,0.0032023225287017474
llm_interval_label_mean__solution_simple,0.0030995309156161
wps,0.002728172025272239
llm_emotion__energy_density,0.002523398320668354
llm_emotion__personal_pronoun_ratio,0.0023779400111045845
llm_emotion__negative_emotion_ratio,0.0021322218891809777
llm_interval_label_mean__solution_fast,0.0018735954863805897
duration_sec,0.001807939888226547
lexical_diversity,0.0018034944439898244
hook_similarity,0.0016364207755620679
llm_linguistic__foreign_terms_count,0.001551807516872709
llm_emotion__positive_emotion_ratio,0.0014097295578559728
llm_abstract_intervals_total,0.0012326180738201724
llm_integration_evidence_count_max,0.0012131203125823238
llm_interval_label_mean__pain_point,0.001020761370267446
zcr,0.0009508642819853937
pause_rate,0.0009335319594594438
llm_abstract_intervals_with_feature,0.0009193861051765376
scene_novelty,0.0008663857337278813
speech_complexity,0.0007765011425462376
voiced_frac,0.0007485506164766065
topic_shift,0.000693516998795829
chapter_id,0.0006748451258088058
ekman_intensity,0.0005284501381049486
ekman_joy,0.0005179364295694692
edit_pace,0.0005048178997005456
curve_fit_mae,0.0004364731288208172
content_rhythm,0.00042743871707884296
pitch_mean,0.00040938122437772506
cumulative_info,0.0003791418799483637
sharpness,0.00031557869989976933
pitch_std,0.00030306573748302884
bumper_score,0.0002785282953355524
engagement_surprise,0.0002494900140052418
cultural_ref_cnt,0.00023329706475353854
information_density,0.00015814752862179185
is_intro,0.0001374776607310224
question_density,8.67132306498301e-05
curiosity_gap,1.8330690492026253e-05
ekman_excitement,1.6764524353618526e-05
crutch_cnt,1.6123705573652575e-05
comment_reply_depth_30s,5.510537933517412e-06
comment_positive_rate_30s,0.0
viewer_address,-5.3896762342020565e-06
ekman_sadness,-7.725076706321943e-06
beat_sync_ratio,-9.871630777998538e-06
curve_p0,-1.6828732128123153e-05
author_reply_rate_video,-1.6833768031669177e-05
llm_expectation_alignment_score,-3.1996874918505114e-05
comment_question_rate_30s,-5.190632130750809e-05
comment_density_30s,-6.389806766253041e-05
text_prob,-7.981781912214103e-05
is_outro,-8.774559096439798e-05
has_example,-9.805156846158052e-05
speech_rate_cv,-9.949939085629467e-05
complex_words_ratio_video,-0.00010367289628021581
brightness,-0.0001058043426400701
curve_p1,-0.00011398768660934404
has_person_mention,-0.00012329277819074966
rolloff,-0.00015576176910769846
radial_ratio,-0.00019970506724694323
is_question,-0.00023561861648720614
best_curve_type,-0.0002572692266771999
ekman_neutral,-0.00038721695197985184
hook_score,-0.0005651643960765304
curve_p2,-0.0006022374622093688
loudness_variance,-0.0007888554739861794
screencast_prob,-0.000803045392429406
motion_speed,-0.0008613372399851235
llm_evidence_authority_intervals,-0.0015549952440914911
syntactic_depth,-0.001728166133261766
llm_linguistic__rare_word_ratio,-0.0019253343638793534
desc_chapter_boundary_dist,-0.0020918364572040105
rms,-0.0021240259554507666
visual_entropy,-0.0022765307536604476
hook_has_address,-0.0024710035166718805
llm_interval_label_mean__why_important,-0.006655983248164669
llm_abstract_total_count,-0.006839351842897301
llm_linguistic__subordinate_clause_ratio,-0.006960754898120906
llm_evidence_water_ratio_mean,-0.00700882511957109
llm_evidence_concreteness_density_mean,-0.008397896140321492
llm_segments_count,-0.008833472878231182
curve_p4,-0.011563654229191181
llm_emotion__emotional_polarity_ratio,-0.016592212085282537
llm_interval_label_mean__promise_result,-0.024194236478396174
llm_interval_label_mean__solution_radical,-0.03124515923729791
