feature,importance_mae_increase
flow_mag_med,0.4612939336040235
ad_segment_length,0.3710374715068555
llm_interval_label_mean__promise_result,0.28801580447961805
radial_med,0.2271933149583271
llm_evidence_authority_intervals,0.21220419477708302
llm_interval_label_mean__quick_tip,0.20822988000246578
curve_p2,0.1189155578613283
llm_abstract_total_count,0.11885967443485086
curve_p1,0.08572502211769048
video_cluster,0.07925665298310883
duration_sec,0.07816281007068024
llm_abstract_intervals_with_feature,0.06566683929745523
llm_interval_label_mean__solution_fast,0.06354116458703948
llm_interval_label_mean__trigger_urgency,0.06137975258402299
visual_audio_sync,0.05042237159049172
curve_fit_mae,0.049294645101717015
speaker_prob,0.047888154889097125
llm_interval_label_mean__why_important,0.04502148467715443
llm_interval_label_mean__pain_point,0.04029763703299043
n_chapters,0.033943107529442254
llm_duration_seconds,0.03293563767234886
best_curve_type,0.0305024099822095
emb_txt_pc7,0.029642006902411387
llm_segments_count,0.023259502448657977
llm_emotion__personal_pronoun_ratio,0.02177718587441042
llm_interval_label_mean__problem_consequence,0.0193317194268257
llm_interval_label_mean__trigger_watch_to_end,0.017840123695902398
emb_aud_pc0,0.017262166844736093
emb_txt_pc27,0.013919572735776953
emb_txt_pc8,0.013217953219272261
emb_txt_pc6,0.011804890396572
title_claim_intensity,0.01149649365113543
llm_expectation_alignment_score,0.010963114370213667
llm_emotion__negative_emotion_ratio,0.010389235845886625
emb_txt_pc15,0.009877925155186418
viewer_engagement,0.009790687938727949
emb_aud_pc19,0.00896420242762801
emb_vis_pc35,0.008722296233224468
emb_vis_pc28,0.008440661288723917
emb_aud_pc6,0.008332714420734355
emb_aud_pc24,0.008122073636196703
emb_txt_pc4,0.007957363317508204
emb_txt_pc2,0.007531108289662214
pitch_std,0.007115167296758785
emb_vis_pc29,0.006870903543906337
curve_p4,0.006780330544651214
emb_aud_pc32,0.006660373801052088
llm_abstract_intervals_total,0.00645500485259749
emb_aud_pc29,0.0064536383600518835
llm_expectation_mismatch_points_count,0.006399834510123626
emb_vis_pc21,0.006163106483987946
ekman_joy,0.0060830265460630525
emb_aud_pc28,0.006027723255724204
emb_aud_pc23,0.006024869408938293
emb_txt_pc9,0.0057536179948561635
content_rhythm,0.005541350865128081
text_prob,0.005501745242883693
hook_similarity,0.00539726181785678
emb_vis_pc13,0.00523747434710522
emb_vis_pc26,0.0051566057866162755
emb_vis_pc16,0.005054449704614328
radial_ratio,0.005051472729975614
emb_vis_pc0,0.00460126064791524
emb_vis_pc20,0.004455193245765088
emb_txt_pc29,0.004353426942730642
emb_txt_pc28,0.004282166131652154
emb_txt_pc14,0.00426741571709659
emb_aud_pc14,0.004176593440593912
emb_aud_pc10,0.004175324392790891
llm_evidence_analytical_intervals,0.003976670066909271
wps,0.0039014109998646517
topic_shift,0.0038945649401977535
emb_txt_pc3,0.003753742180248487
emb_txt_pc33,0.0037324282202389368
emb_vis_pc2,0.003429898554735722
emb_aud_pc9,0.0032067954186164372
emb_txt_pc18,0.0031791528380738397
emb_aud_pc8,0.0031671648686472766
emb_aud_pc26,0.0031561173542888456
emb_aud_pc17,0.003050058950291934
rolloff,0.0029974131064841813
segment_self_similarity,0.002882082344281933
emb_vis_pc5,0.0028332436438835984
emb_txt_pc17,0.002827358434695881
emb_txt_pc31,0.002746368257126086
information_density,0.0027143905186417074
emb_vis_pc12,0.0026389040805327112
emb_vis_pc27,0.0025217958960205068
emb_txt_pc10,0.0025197238733269955
emb_vis_pc18,0.0025177840431135578
emb_vis_pc3,0.002332809750395981
emb_vis_pc7,0.0023057473059930446
edit_pace,0.002078065777769389
emb_txt_pc26,0.00202180239233698
emb_txt_pc35,0.001942563198580416
brightness,0.0019058597678000666
rms,0.0017198400214168074
emb_aud_pc13,0.0017046665909267844
emb_vis_pc31,0.0016694769528832864
overlay_prob,0.0015650335632930279
emb_aud_pc30,0.0013868486763225717
emb_txt_pc30,0.0012528530914005741
emb_aud_pc1,0.0010384202711650303
emb_txt_pc5,0.0009658904122836987
emb_vis_pc1,0.0009221354569534767
emb_vis_pc9,0.0008620203603610932
loudness_variance,0.0008608268511180128
llm_linguistic__foreign_terms_count,0.0008342644719791181
desc_chapter_boundary_dist,0.0006669405191251698
emb_vis_pc23,0.0004968941565785201
emb_txt_pc20,0.0004461949414544364
narrative_momentum,0.00043830418350694346
object_count,0.00038017121872044866
viewer_address,0.00029076151328499833
emb_aud_pc2,0.0002775301791652751
ekman_sadness,0.00021609542393381532
comment_question_rate_30s,0.00018682121050233035
speech_rate_cv,0.00016154676380715217
comment_density_30s,9.007897707462576e-05
emb_vis_pc14,6.904602050763486e-05
ekman_excitement,3.868329643026413e-05
author_reply_rate_video,3.4156270546681354e-05
title_transcript_gap,8.105287457382816e-06
log1p_view_count,0.0
mean_retention_prior,0.0
comment_reply_depth_30s,-4.292856348442342e-06
has_person_mention,-1.0162957823567353e-05
ekman_intensity,-3.3591242119968e-05
emb_aud_pc21,-9.829304005855022e-05
emb_vis_pc30,-0.000141798718140862
emb_aud_pc31,-0.00018414487933178237
timecode_like_weighted_30s,-0.00022934035499542205
emb_aud_pc22,-0.00034193964287787537
crutch_cnt,-0.0003749771873547303
emb_aud_pc18,-0.0004017087728673374
llm_linguistic__rare_word_ratio,-0.00048063901391373067
has_example,-0.0005372234382251762
emb_txt_pc0,-0.0006642596556407198
screencast_prob,-0.0008766627547764471
emb_vis_pc19,-0.0009150975293453101
bumper_score,-0.0009779629848972959
llm_linguistic__avg_sentence_length,-0.0010806697429995183
emb_txt_pc21,-0.001170073405350891
is_outro,-0.0012088730311628382
question_density,-0.0012503580527729596
storytelling,-0.001277684126750067
curiosity_gap,-0.0012833449864153579
ekman_neutral,-0.0014141860810839902
emb_aud_pc5,-0.001442727570486646
emb_vis_pc10,-0.0014933739086192333
emb_vis_pc33,-0.001565332695989241
emb_vis_pc25,-0.0016032092406019771
topic_change_rate,-0.0016208769543336389
emb_txt_pc24,-0.0016234105176266666
emb_vis_pc34,-0.0016315694374609891
voiced_frac,-0.0016843958184271201
emb_vis_pc6,-0.001686590213586392
emb_vis_pc11,-0.0019523446866781314
emb_aud_pc4,-0.0020419613677677972
complex_words_ratio_video,-0.002135095879583382
emb_txt_pc22,-0.002144291188457004
is_question,-0.002174703012598833
emb_txt_pc32,-0.0022970346885148986
engagement_surprise,-0.0023060411509899124
emb_aud_pc3,-0.002617349152517612
cumulative_info,-0.002640636935092644
emb_aud_pc7,-0.002758354715781941
emb_aud_pc15,-0.0027584642466932153
emb_txt_pc23,-0.002849954284063827
emb_txt_pc16,-0.0036521042927658343
unique_classes,-0.0036616327266882466
scene_novelty,-0.003936938295270131
emb_txt_pc11,-0.003969388149752539
emb_vis_pc17,-0.004047715593092605
emb_vis_pc22,-0.004270675961333658
chapter_id,-0.00432296828468246
emb_vis_pc8,-0.004333811844929691
hook_has_address,-0.004415256764628417
semantic_momentum,-0.004968260963364557
is_intro,-0.0049934183252922535
zcr,-0.00505231120798868
emb_vis_pc4,-0.005811742650400298
emb_txt_pc1,-0.006352323777604774
emb_aud_pc33,-0.006529909643796472
lexical_diversity,-0.006710400722994692
cultural_ref_cnt,-0.006984325446704709
llm_emotion__emotional_polarity_ratio,-0.0071911024339129884
pitch_mean,-0.007271745134108265
llm_emotion__positive_emotion_ratio,-0.007626051949982049
emb_aud_pc12,-0.007660018618743969
emb_txt_pc25,-0.007799217299659667
llm_evidence_water_ratio_mean,-0.00783637169564102
emb_aud_pc16,-0.008042829154741504
emb_aud_pc34,-0.008187072300675169
emb_aud_pc27,-0.00821230142423417
emb_txt_pc19,-0.008358893063989115
emb_aud_pc11,-0.00870577443944338
visual_entropy,-0.008894184225856704
emb_vis_pc32,-0.009255312929059123
emb_txt_pc34,-0.010375880628529366
speech_complexity,-0.010608089182636782
emb_txt_pc12,-0.010924144027256588
emb_txt_pc13,-0.01108286262738858
emb_aud_pc20,-0.011729774852790698
emb_aud_pc35,-0.011867071472772394
syntactic_depth,-0.01259190776560537
emb_vis_pc24,-0.013191496594117247
emb_vis_pc15,-0.014272422412834728
emb_aud_pc25,-0.014322906343063302
sharpness,-0.016274519816484024
llm_integration_evidence_count_max,-0.019886093139648862
curve_p3,-0.022620471916575725
title_delivery_30s,-0.025571173488503796
hook_score,-0.028259921687664225
avg_word_length,-0.03429943273563172
pause_rate,-0.03610680532927564
semantic_novelty,-0.04340220914028663
llm_emotion__energy_density,-0.06144196463103384
llm_interval_label_mean__solution_simple,-0.06983344729584022
llm_evidence_concreteness_density_mean,-0.07716246803208122
curve_p0,-0.0785257996663006
motion_speed,-0.08722595063766594
llm_linguistic__subordinate_clause_ratio,-0.10770047556055662
llm_interval_label_mean__solution_radical,-0.21939689825076858
avg_comment_length_video,-0.3975896151703182
