feature,importance
duration_seconds,5.454963657074252
out__centroid__max,3.5490790175525904
emotion__energy_density,3.112640332826356
out__screencast_prob__mean,2.771720264417365
interval_label_mean__trigger_watch_to_end,2.1548526700715454
linguistic__avg_sentence_length,1.6590991900970367
integration_suggested_next_step_present,1.6546344202800245
out__visual_topic_shift__min,1.4062033952065698
evidence_analytical_intervals,1.3560877965565579
emotion__negative_emotion_ratio,1.2522215390513902
out__zcr__max,1.1632282009143775
out__pause_rate__max,1.0156249387168717
out__overlay_prob__trend,0.9919111528529443
abstract_total_count,0.9502731583099937
out__is_ad__max,0.9248608527485155
linguistic__foreign_terms_count,0.9161359520838358
out__screencast_prob__std,0.832548357896832
interval_label_mean__problem_consequence,0.7773358029902803
out__visual_entropy__std,0.7226985688334036
linguistic__rare_word_ratio,0.7204437566208957
out__loudness_variance__min,0.7164866529336538
emotion__positive_emotion_ratio,0.6929102162179578
out__sharpness__trend,0.687298644343674
out__motion_speed__q25,0.6856868939830444
out__visual_entropy__trend,0.6792384357763623
out__screencast_prob__q75,0.6650022033803442
out__sharpness__median,0.6566865663758782
out__loudness_change__min,0.636022838711236
expectation_alignment_score,0.6258416382076103
out__is_ad_x_viewer_address__std,0.6100473597651083
integration_present,0.5519825446321931
out__is_ad_x_viewer_address__max,0.5501182935292869
out__centroid__std,0.5363748286161407
out__screencast_prob__q25,0.5312261927867974
integration_evidence_count_max,0.5229042370141971
out__hook_has_address__mean,0.5206293763075243
out__text_prob__max,0.5204314835136842
out__flow_mag_med__trend,0.49621792743275844
out__pause_rate__q75,0.4946185391430446
out__is_ad_x_viewer_address__mean,0.4939397917339491
out__n_chapters__mean,0.4898459047723908
out__edit_pace__trend,0.48791457957802953
out__hook_has_address__q25,0.471097436393196
out__hook_has_address__q75,0.4683240672970322
out__hook_has_address__min,0.4568781025672717
out__unique_classes__max,0.45600981061132995
out__hook_has_address__max,0.45483941569345115
abstract_intervals_total,0.45352002664874613
out__rolloff__std,0.4492234222830242
out__audio_self_similarity__trend,0.4456898094859875
out__pitch_mean__median,0.434456701353219
interval_label_mean__pain_point,0.42865217614907525
out__is_intro__max,0.42804430689744394
out__speech_complexity__mean,0.4176083734070213
out__motion_speed__mean,0.4176050120002593
out__n_chapters__q25,0.4046601546477929
out__topic_change_rate__median,0.39824988123974764
interval_label_mean__promise_result,0.39538671067528963
out__radial_med__trend,0.3895823987777793
out__question_density__max,0.38896825408578584
out__curiosity_gap__max,0.38644160198776056
out__scene_novelty__max,0.3841474574687084
out__has_example__max,0.38329525181046986
out__n_chapters__median,0.3831785164871069
out__hook_has_address__median,0.36914050747208
out__lexical_diversity__max,0.36489720787273294
out__pause_rate__trend,0.36331391255948475
out__unique_classes__q75,0.3622283806095723
out__question_density__q75,0.36149550053468904
out__semantic_novelty__max,0.3537395628541597
out__motion_speed__max,0.3444901621998261
out__unique_classes__median,0.33826047561644734
out__radial_ratio__std,0.33722126009412146
out__n_chapters__max,0.3314982046854675
interval_label_mean__trigger_urgency,0.33033097528557265
integration_confidence,0.33030415815972447
out__zcr__trend,0.3209708799260722
out__audio_novelty__trend,0.3174966162219615
out__pitch_mean__q25,0.31481828100044856
out__brightness__min,0.31208238833275775
out__is_outro__max,0.31025456729310263
out__is_ad_x_viewer_address__trend,0.30972735188701955
out__cultural_ref_cnt__trend,0.3042392308984637
out__rms__min,0.3035990165410666
out__visual_hook_similarity__q75,0.3014189238562125
out__audio_novelty__max,0.2991722567178406
out__rms__q25,0.2941695112159719
out__pitch_mean__q75,0.29163539793080645
out__voiced_frac__mean,0.2877621415576866
abstract_intervals_with_feature,0.28711054224432264
out__radial_med__median,0.28634836322566126
out__brightness__trend,0.2858993116914668
out__motion_speed__trend,0.28471823321291195
out__rms__median,0.2827921284120487
linguistic__flesch_reading_ease,0.28161376749472833
out__chapter_id__q75,0.2815087479977372
out__is_question__max,0.28034695358756767
out__wps__mean,0.2766081642815306
out__rms__mean,0.27523484185671043
out__topic_change_rate__q75,0.27464958594808836
out__screencast_prob__min,0.27380632790578624
out__radial_ratio__trend,0.2673764258492574
out__speech_rate_cv__std,0.2654645116936594
out__rms__max,0.2615036974527732
out__text_prob__trend,0.2595134383896752
out__voiced_frac__trend,0.2577767641410709
out__centroid__q75,0.25509081165320635
out__n_chapters__q75,0.2544945642967138
out__bumper_score__mean,0.25372226044969165
out__pause_rate__std,0.24920433364148492
out__brightness__median,0.2479956870316275
out__audio_topic_shift__trend,0.2456070644517081
out__loudness_variance__max,0.24341991600155627
out__radial_ratio__q75,0.24108456309262447
out__depth_variance__mean,0.2366547012504015
out__rolloff__mean,0.23638269270376822
interval_label_mean__why_important,0.23448269902850855
out__centroid__median,0.23440065518022601
out__lexical_diversity__q75,0.2340355626581449
out__pitch_mean__mean,0.2317482799226493
out__visual_entropy__q25,0.23038718763773364
out__edit_pace__max,0.22983742895896916
out__screencast_prob__trend,0.2275968289073253
out__viewer_address__max,0.22741009191014827
out__speech_rate_cv__q25,0.22510999727223618
out__brightness__mean,0.22505475360367408
linguistic__avg_word_length,0.22503307313539817
out__n_ad_segments__q25,0.22369651852608233
out__loudness_change__max,0.22263990168731115
out__beat_sync_ratio__max,0.2175238039676186
out__speech_rate_cv__max,0.21659799155412357
